A1BG-AS1__chr19	NR_015380__chr19__1
SNORD55__chr1	NR_000015__chr1__1
SNORD56B__chr14	NR_001276__chr14__1
SNORD56__chr20	NR_002739__chr20__1
SNORD57__chr20	NR_002738__chr20__1
SNORD58A__chr18	NR_002571__chr18__1
SNORD58B__chr18	NR_002572__chr18__1
SNORD58C__chr18	NR_003701__chr18__1
SNORD59A__chr12	NR_002737__chr12__1
SNORD59B__chr12	NR_003046__chr12__1
SNORD5__chr11	NR_003033__chr11__1
SNORD60__chr16	NR_002736__chr16__1
SNORD61__chrX	NR_002735__chrX__1
SNORD62A__chr9	NR_002914__chr9__1|NR_002914__chr9__2
SNORD62B__chr9	NR_003050__chr9__1|NR_003050__chr9__2
SNORD63__chr5	NR_002913__chr5__1
SNORD64__chr15	NR_001294__chr15__1
SNORD65__chr17	NR_003054__chr17__1
SNORD66__chr3	NR_003055__chr3__1
SNORD67__chr11	NR_003056__chr11__1
SNORD68__chr16	NR_002450__chr16__1
SNORD69__chr3	NR_003057__chr3__1
SNORD6__chr11	NR_003036__chr11__1
SNORD70__chr2	NR_003058__chr2__1
SNORD71__chr16	NR_003059__chr16__1
SNORD72__chr5	NR_002583__chr5__1
SNORD73A__chr4	NR_000007__chr4__1
SNORD74__chr1	NR_002579__chr1__1
SNORD75__chr1	NR_003941__chr1__1
SNORD76__chr1	NR_003942__chr1__1
SNORD77__chr1	NR_003943__chr1__1
SNORD78__chr1	NR_003944__chr1__1
SNORD79__chr1	NR_003939__chr1__1
SNORD7__chr17	NR_003037__chr17__1
SNORD80__chr1	NR_003940__chr1__1
SNORD81__chr1	NR_003938__chr1__1
SNORD82__chr2	NR_004398__chr2__1
SNORD83A__chr22	NR_000027__chr22__1
SNORD83B__chr22	NR_000028__chr22__1
SNORD84__chr6	NR_003065__chr6__1
SNORD84__chr6_GL000251v2_alt	NR_003065__chr6_GL000251v2_alt__1
SNORD84__chr6_GL000252v2_alt	NR_003065__chr6_GL000252v2_alt__1
SNORD84__chr6_GL000253v2_alt	NR_003065__chr6_GL000253v2_alt__1
SNORD84__chr6_GL000254v2_alt	NR_003065__chr6_GL000254v2_alt__1
SNORD84__chr6_GL000255v2_alt	NR_003065__chr6_GL000255v2_alt__1
SNORD84__chr6_GL000256v2_alt	NR_003065__chr6_GL000256v2_alt__1
SNORD86__chr20	NR_004399__chr20__1
SNORD87__chr8	NR_002598__chr8__1
SNORD88A__chr19	NR_003067__chr19__1
SNORD88B__chr19	NR_003068__chr19__1
SNORD88C__chr19	NR_003069__chr19__1
SNORD89__chr2	NR_003070__chr2__1
SNORD8__chr14	NR_002916__chr14__1
SNORD90__chr9	NR_003071__chr9__1
SNORD91A__chr17	NR_003072__chr17__1
SNORD91B__chr17	NR_003073__chr17__1
SNORD92__chr2	NR_003074__chr2__1
SNORD93__chr7	NR_003075__chr7__1
SNORD94__chr2	NR_004378__chr2__1
SNORD95__chr5	NR_002591__chr5__1
SNORD96A__chr5	NR_002592__chr5__1
SNORD96B__chrX	NR_004379__chrX__1
SNORD97__chr11	NR_004403__chr11__1
SNORD98__chr10	NR_003076__chr10__1
SNORD99__chr1	NR_003077__chr1__1
SNORD9__chr14	NR_003029__chr14__1
SNPH__chr20	NM_001318234__chr20__1|NM_014723__chr20__1
SNRK-AS1__chr3	NR_046757__chr3__1
SNRK__chr3	NM_001100594__chr3__1|NM_017719__chr3__1
SNRNP200__chr2	NM_014014__chr2__1
SNRNP25__chr16	NM_024571__chr16__1
SNRNP27__chr2	NM_006857__chr2__1|NR_037862__chr2__1
SNRNP35__chr12	NR_104103__chr12__1|NM_022717__chr12__1|NM_180699__chr12__1
SNRNP40__chr1	NM_004814__chr1__1
SNRNP48__chr6	NM_152551__chr6__1
SNRNP70__chr19	NM_001301069__chr19__1|NM_003089__chr19__1
SNRPA1__chr15	NR_135508__chr15__1|NM_003090__chr15__1|NR_135506__chr15__1|NR_135507__chr15__1
SNRPA__chr19	NM_004596__chr19__1
SNRPB2__chr20	NM_003092__chr20__1|NM_198220__chr20__1
SNRPB__chr20	NM_003091__chr20__1|NM_198216__chr20__1
SNRPC__chr6	NM_003093__chr6__1|NR_029472__chr6__1
SNRPD1__chr18	NM_001291916__chr18__1|NM_006938__chr18__1
SNRPD2P2__chr1	NR_033826__chr1__1
SNRPD2__chr19	NM_177542__chr19__1|NM_004597__chr19__1
SNRPD3__chr22	NM_001278656__chr22__1|NM_004175__chr22__1|NR_103819__chr22__1
SNRPE__chr1	NM_001304464__chr1__1|NM_003094__chr1__1|NR_130746__chr1__1
SNRPF__chr12	NM_003095__chr12__1
SNRPG__chr2	NM_001317167__chr2__1|NM_001317168__chr2__1|NM_001317169__chr2__1|NM_001317165__chr2__1|NM_001317166__chr2__1|NM_001317171__chr2__1|NM_003096__chr2__1
SNRPN__chr15	NM_022806__chr15__1|NM_022807__chr15__1|NM_022808__chr15__1|NM_022805__chr15__1|NM_003097__chr15__1
SNTA1__chr20	NM_003098__chr20__1
SNTB1__chr8	NM_021021__chr8__1
SNTB2__chr16	NM_006750__chr16__1
SNTG1__chr8	NM_001321775__chr8__1|NM_001287813__chr8__1|NM_001321776__chr8__1|NM_001321777__chr8__1|NR_135798__chr8__1|NM_001287814__chr8__1|NM_001321773__chr8__1|NM_018967__chr8__1|NR_135794__chr8__1|NR_135795__chr8__1|NR_135796__chr8__1|NR_135797__chr8__1|NM_001321778__chr8__1
SNTG2__chr2	NM_018968__chr2__1
SNTG2__chr2_KI270773v1_alt	NM_018968__chr2_KI270773v1_alt__1
SNTN__chr3	NM_001080537__chr3__1
SNU13__chr22	NM_001003796__chr22__1|NM_005008__chr22__1
SNUPN__chr15	NM_001042581__chr15__1|NM_005701__chr15__1|NM_001042588__chr15__1
SNURF__chr15	NM_022804__chr15__1|NM_005678__chr15__1
SNW1__chr14	NM_001318844__chr14__1|NM_012245__chr14__1
SNX10__chr7	NM_001199835__chr7__1|NM_001318198__chr7__1|NM_013322__chr7__1|NM_001318199__chr7__1|NM_001199837__chr7__1|NM_001199838__chr7__1
SNX11__chr17	NM_152244__chr17__1|NM_013323__chr17__1
SNX12__chrX	NM_001256186__chrX__1|NM_001256187__chrX__1|NM_001256188__chrX__1|NM_013346__chrX__1|NM_001256185__chrX__1
SNX13__chr7	NM_015132__chr7__1
SNX14__chr6	NM_001297614__chr6__1|NM_001304479__chr6__1|NM_020468__chr6__1|NM_153816__chr6__1
SNX15__chr11	NM_013306__chr11__1|NM_147777__chr11__1
SNX16__chr8	NM_022133__chr8__1|NM_152836__chr8__1|NM_152837__chr8__1
SNX17__chr2	NM_001267059__chr2__1|NM_001267060__chr2__1|NM_001267061__chr2__1|NM_014748__chr2__1|NR_049782__chr2__1|NR_049783__chr2__1|NR_049784__chr2__1|NR_049785__chr2__1|NR_049786__chr2__1|NR_049787__chr2__1|NR_049788__chr2__1
SNX18__chr5	NM_001145427__chr5__1|NM_001102575__chr5__1|NM_052870__chr5__1
SNX19__chr11	NM_001301089__chr11__1|NM_014758__chr11__1
SNX1__chr15	NM_001242933__chr15__1|NM_003099__chr15__1|NM_148955__chr15__1
SNX20__chr16	NM_001144972__chr16__1|NM_153337__chr16__1|NM_182854__chr16__1
SNX21__chr20	NM_001042632__chr20__1|NM_001042633__chr20__1|NM_033421__chr20__1|NM_152897__chr20__1
SNX22__chr15	NM_024798__chr15__1|NR_073534__chr15__1
SNX24__chr5	NM_014035__chr5__1
SNX25__chr4	NM_001317781__chr4__1
SNX27__chr1	NM_030918__chr1__1
SNX29P1__chr16	NR_045011__chr16__1
SNX29P2__chr16	NR_002939__chr16__1
SNX29__chr16	NM_032167__chr16__1
SNX2__chr5	NM_001278199__chr5__1|NM_003100__chr5__1
SNX30__chr9	NM_001012994__chr9__1
SNX31__chr8	NM_152628__chr8__1
SNX32__chr11	NM_152760__chr11__1
SNX33__chr15	NM_001318146__chr15__1|NM_153271__chr15__1
SNX3__chr6	NM_001300928__chr6__1|NM_001300929__chr6__1|NM_003795__chr6__1|NM_152827__chr6__1
SNX4__chr3	NM_003794__chr3__1|NR_073435__chr3__1
SNX5__chr20	NM_014426__chr20__1|NM_001282454__chr20__1|NM_152227__chr20__1
SNX6__chr14	NM_021249__chr14__1|NM_152233__chr14__1
SNX7__chr1	NM_015976__chr1__1|NM_152238__chr1__1|NR_033716__chr1__1
SNX8__chr7	NM_013321__chr7__1
SNX9__chr6	NM_016224__chr6__1
SOAT1__chr1	NM_001252511__chr1__1|NM_001252512__chr1__1|NM_003101__chr1__1|NR_045530__chr1__1
SOAT2__chr12	NM_003578__chr12__1
SOBP__chr6	NM_018013__chr6__1
SOCS1__chr16	NM_003745__chr16__1
SOCS2-AS1__chr12	NR_038263__chr12__1
SOCS2__chr12	NM_003877__chr12__1|NM_001270467__chr12__1|NM_001270468__chr12__1|NM_001270469__chr12__1|NM_001270470__chr12__1|NM_001270471__chr12__1
SOCS3__chr17	NM_003955__chr17__1
SOCS4__chr14	NM_080867__chr14__1|NM_199421__chr14__1
SOCS5__chr2	NM_014011__chr2__1|NM_144949__chr2__1
SOCS6__chr18	NM_004232__chr18__1
SOCS7__chr17	NM_014598__chr17__1
SOCS7__chr17_KI270857v1_alt	NM_014598__chr17_KI270857v1_alt__1
SOD1__chr21	NM_000454__chr21__1
SOD2__chr6	NM_000636__chr6__1|NM_001024465__chr6__1|NM_001024466__chr6__1|NM_001322814__chr6__1|NM_001322815__chr6__1|NM_001322820__chr6__1|NM_001322819__chr6__1|NM_001322817__chr6__1|NM_001322816__chr6__1
SOD3__chr4	NM_003102__chr4__1
SOGA1__chr20	NM_199181__chr20__1|NM_080627__chr20__1
SOGA3__chr6	NM_001012279__chr6__1
SOHLH1__chr9	NM_001012415__chr9__1|NM_001101677__chr9__1
SOHLH2__chr13	NM_017826__chr13__1|NM_001282147__chr13__1
SON__chr21	NM_001291411__chr21__1|NM_032195__chr21__1|NM_001291412__chr21__1|NM_138927__chr21__1|NR_103797__chr21__1
SORBS1__chr10	NM_001034954__chr10__1|NM_001034955__chr10__1|NM_001034956__chr10__1|NM_001034957__chr10__1|NM_001290296__chr10__1|NM_001290297__chr10__1|NM_001290298__chr10__1|NM_006434__chr10__1|NM_001290294__chr10__1|NM_001290295__chr10__1|NM_015385__chr10__1|NM_024991__chr10__1
SORBS2__chr4	NM_001145674__chr4__1|NM_001145675__chr4__1|NM_001145673__chr4__1|NM_001145672__chr4__1|NM_001145671__chr4__1|NM_001145670__chr4__1|NM_003603__chr4__1|NM_001270771__chr4__1|NM_021069__chr4__1
SORBS3__chr8	NM_005775__chr8__1|NM_001018003__chr8__1
SORCS1__chr10	NM_001013031__chr10__1|NM_001206570__chr10__1|NM_001206572__chr10__1|NM_052918__chr10__1|NM_001206569__chr10__1|NM_001206571__chr10__1
SORCS2__chr4	NM_020777__chr4__1
SORCS3-AS1__chr10	NR_104028__chr10__1
SORCS3__chr10	NM_014978__chr10__1
SORD__chr15	NM_003104__chr15__1|NR_034039__chr15__1
SORL1__chr11	NM_003105__chr11__1
SORT1__chr1	NM_001205228__chr1__1|NM_002959__chr1__1
SOS1__chr2	NM_005633__chr2__1
SOS2__chr14	NM_006939__chr14__1
SOSTDC1__chr7	NM_015464__chr7__1
SOST__chr17	NM_025237__chr17__1
SOWAHA__chr5	NM_175873__chr5__1
SOWAHB__chr4	NM_001029870__chr4__1
SOWAHC__chr2	NM_023016__chr2__1
SOWAHD__chrX	NM_001105576__chrX__1
SOX10__chr22	NM_006941__chr22__1
SOX11__chr2	NM_003108__chr2__1
SOX12__chr20	NM_006943__chr20__1
SOX13__chr1	NM_005686__chr1__1
SOX14__chr3	NM_004189__chr3__1
SOX15__chr17	NM_006942__chr17__1
SOX17__chr8	NM_022454__chr8__1
SOX18__chr20	NM_018419__chr20__1
SOX1__chr13	NM_005986__chr13__1
SOX2-OT__chr3	NR_075091__chr3__1|NR_075092__chr3__1|NR_075093__chr3__1|NR_004053__chr3__1|NR_075089__chr3__1|NR_075090__chr3__1
SOX21-AS1__chr13	NR_046514__chr13__1
SOX21__chr13	NM_007084__chr13__1
SOX2__chr3	NM_003106__chr3__1
SOX30__chr5	NM_007017__chr5__1|NM_178424__chr5__1|NM_001308165__chr5__1
SOX3__chrX	NM_005634__chrX__1
SOX4__chr6	NM_003107__chr6__1
SOX5__chr12	NM_001261414__chr12__1|NM_152989__chr12__1|NM_006940__chr12__1|NM_001261415__chr12__1|NM_178010__chr12__1
SOX6__chr11	NM_001145819__chr11__1|NM_017508__chr11__1|NM_001145811__chr11__1|NM_033326__chr11__1
SOX7__chr8	NM_031439__chr8__1
SOX8__chr16	NM_014587__chr16__1
SOX9-AS1__chr17	NR_103738__chr17__1|NR_103737__chr17__1
SOX9__chr17	NM_000346__chr17__1
SP100__chr2	NM_001206702__chr2__1|NM_001206703__chr2__1|NM_001206701__chr2__1|NM_003113__chr2__1|NM_001080391__chr2__1|NM_001206704__chr2__1
SP110__chr2	NM_004509__chr2__1|NM_080424__chr2__1|NM_004510__chr2__1|NM_001185015__chr2__1
SP140L__chr2	NM_138402__chr2__1|NM_001308162__chr2__1|NM_001308163__chr2__1
SP140__chr2	NM_001278451__chr2__1|NM_001278452__chr2__1|NM_001278453__chr2__1|NM_007237__chr2__1|NM_001005176__chr2__1
SP1__chr12	NM_001251825__chr12__1|NM_138473__chr12__1|NM_003109__chr12__1
SP2-AS1__chr17	NR_103856__chr17__1|NR_103857__chr17__1
SP2__chr17	NM_003110__chr17__1
SP3__chr2	NM_001017371__chr2__1|NM_001172712__chr2__1|NM_003111__chr2__1
SP4__chr7	NM_003112__chr7__1
SP5__chr2	NM_001003845__chr2__1
SP6__chr17	NM_001258248__chr17__1|NM_199262__chr17__1
SP7__chr12	NM_152860__chr12__1|NM_001173467__chr12__1|NM_001300837__chr12__1
SP8__chr7	NM_182700__chr7__1|NM_198956__chr7__1
SP9__chr2	NM_001145250__chr2__1
SPA17__chr11	NM_017425__chr11__1
SPACA1__chr6	NM_030960__chr6__1
SPACA3__chr17	NM_001317226__chr17__1|NM_173847__chr17__1|NM_001317225__chr17__1
SPACA4__chr19	NM_133498__chr19__1
SPACA5B__chrX	NM_001079900__chrX__1|NM_001079900__chrX__2
SPACA5__chrX	NM_205856__chrX__1|NM_205856__chrX__2
SPACA6P-AS__chr19	NR_108100__chr19__1
SPACA6__chr19	NM_001316994__chr19__1|NR_024330__chr19__1|NM_001316972__chr19__1
SPACA7__chr13	NM_145248__chr13__1
SPACA7__chr13_KI270838v1_alt	NM_145248__chr13_KI270838v1_alt__1
SPACA9__chr9	NM_001316898__chr9__1|NR_133631__chr9__1|NM_001316897__chr9__1|NM_001316900__chr9__1|NM_018956__chr9__1
SPAG11A__chr8	NM_001081552__chr8__1
SPAG11B__chr8	NM_058200__chr8__1|NM_058202__chr8__1|NM_058206__chr8__1|NM_058207__chr8__1|NM_016512__chr8__1|NM_058201__chr8__1|NM_058203__chr8__1|NM_058203__chr8__2
SPAG11B__chr8_KI270813v1_alt	NM_058200__chr8_KI270813v1_alt__1|NM_058202__chr8_KI270813v1_alt__1|NM_058206__chr8_KI270813v1_alt__1|NM_058207__chr8_KI270813v1_alt__1|NM_016512__chr8_KI270813v1_alt__1|NM_058201__chr8_KI270813v1_alt__1|NM_058203__chr8_KI270813v1_alt__1
SPAG16__chr2	NM_024532__chr2__1|NR_047659__chr2__1|NR_047660__chr2__1|NM_001025436__chr2__1
SPAG17__chr1	NM_206996__chr1__1
SPAG1__chr8	NM_172218__chr8__1|NM_003114__chr8__1
SPAG4__chr20	NM_003116__chr20__1|NM_001317931__chr20__1
SPAG5-AS1__chr17	NR_040012__chr17__1
SPAG5__chr17	NM_006461__chr17__1
SPAG6__chr10	NM_001253854__chr10__1|NM_001253855__chr10__1|NM_012443__chr10__1|NM_172242__chr10__1
SPAG7__chr17	NM_004890__chr17__1
SPAG8__chr9	NM_172312__chr9__1|NM_001039592__chr9__1
SPAG9__chr17	NM_001251971__chr17__1|NM_001130527__chr17__1|NM_001130528__chr17__1|NM_003971__chr17__1
SPAM1__chr7	NM_001174044__chr7__1|NM_153189__chr7__1|NM_003117__chr7__1|NM_001174045__chr7__1|NM_001174046__chr7__1
SPANXA1__chrX	NM_013453__chrX__1|NM_013453__chrX__2
SPANXA2-OT1__chrX	NR_037183__chrX__1
SPANXA2__chrX	NM_145662__chrX__1|NM_145662__chrX__2
SPANXB1__chrX	NM_032461__chrX__1
SPANXC__chrX	NM_022661__chrX__1
SPANXD__chrX	NM_032417__chrX__1
SPANXN1__chrX	NM_001009614__chrX__1
SPANXN2__chrX	NM_001009615__chrX__1
SPANXN3__chrX	NM_001009609__chrX__1
SPANXN4__chrX	NM_001009613__chrX__1
SPANXN5__chrX	NM_001009616__chrX__1
SPARCL1__chr4	NM_001128310__chr4__1|NM_001291976__chr4__1|NM_001291977__chr4__1|NM_004684__chr4__1
SPARC__chr5	NM_001309443__chr5__1|NM_001309444__chr5__1|NM_003118__chr5__1
SPAST__chr2	NM_014946__chr2__1|NM_199436__chr2__1
SPATA12__chr3	NM_181727__chr3__1
SPATA13-AS1__chr13	NR_046531__chr13__1
SPATA13__chr13	NM_001286792__chr13__1|NR_104595__chr13__1|NM_001166271__chr13__1|NM_153023__chr13__1|NM_001286793__chr13__1|NM_001286794__chr13__1|NM_001286795__chr13__1
SPATA16__chr3	NM_031955__chr3__1
SPATA17-AS1__chr1	NR_125784__chr1__1
SPATA17__chr1	NM_138796__chr1__1
SPATA18__chr4	NM_001297608__chr4__1|NM_145263__chr4__1|NR_123728__chr4__1
SPATA19__chr11	NM_001291992__chr11__1|NM_174927__chr11__1
SPATA1__chr1	NM_001310156__chr1__1
SPATA20__chr17	NM_001258372__chr17__1|NM_001258373__chr17__1|NM_022827__chr17__1
SPATA21__chr1	NM_198546__chr1__1
SPATA22__chr17	NM_032598__chr17__1|NM_001170699__chr17__1|NM_001170698__chr17__1|NM_001170697__chr17__1|NM_001170695__chr17__1|NM_001170696__chr17__1|NM_001321336__chr17__1|NM_001321337__chr17__1
SPATA24__chr5	NM_194296__chr5__1
SPATA25__chr20	NM_080608__chr20__1
SPATA2L__chr16	NM_152339__chr16__1
SPATA2__chr20	NM_001135773__chr20__1|NM_006038__chr20__1
SPATA3-AS1__chr2	NR_033879__chr2__1
SPATA31A1__chr9	NM_001085452__chr9__1
SPATA31A3__chr9	NM_001083124__chr9__1
SPATA31A5__chr9	NM_001113541__chr9__1|NM_001113541__chr9__2
SPATA31A6__chr9	NM_001145196__chr9__1
SPATA31A7__chr9	NM_015667__chr9__1|NM_015667__chr9__2
SPATA31C1__chr9	NM_001145124__chr9__1
SPATA31C2__chr9	NM_001166137__chr9__1
SPATA31D1__chr9	NM_001001670__chr9__1
SPATA31D3__chr9	NM_207416__chr9__1
SPATA31D4__chr9	NM_001145197__chr9__1
SPATA31D5P__chr9	NR_026851__chr9__1
SPATA31E1__chr9	NM_178828__chr9__1
SPATA32__chr17	NM_152343__chr17__1
SPATA33__chr16	NM_153025__chr16__1|NM_001271907__chr16__1|NM_001271908__chr16__1|NM_001271910__chr16__1|NR_073515__chr16__1|NR_073516__chr16__1|NM_001271909__chr16__1
SPATA3__chr2	NM_139073__chr2__1
SPATA41__chr15	NR_028140__chr15__1|NR_028139__chr15__1
SPATA42__chr1	NR_049777__chr1__1|NR_034168__chr1__1
SPATA45__chr1	NM_001024601__chr1__1
SPATA4__chr4	NM_144644__chr4__1
SPATA5L1__chr15	NM_024063__chr15__1|NR_027635__chr15__1|NM_001323640__chr15__1|NR_136645__chr15__1|NR_136646__chr15__1|NR_136647__chr15__1|NR_136648__chr15__1
SPATA5__chr4	NM_001317799__chr4__1|NM_145207__chr4__1
SPATA6L__chr9	NM_001039395__chr9__1
SPATA6__chr1	NM_001286238__chr1__1|NM_001286239__chr1__1|NM_019073__chr1__1
SPATA7__chr14	NM_001040428__chr14__1|NM_018418__chr14__1
SPATA8-AS1__chr15	NR_102754__chr15__1|NR_102753__chr15__1
SPATA8__chr15	NM_001304804__chr15__1|NM_001304805__chr15__1|NM_001304806__chr15__1|NM_173499__chr15__1
SPATA9__chr5	NR_125327__chr5__1|NR_125328__chr5__1|NR_125330__chr5__1|NM_031952__chr5__1|NR_125329__chr5__1
SPATC1L__chr21	NM_001142854__chr21__1|NM_032261__chr21__1
SPATC1L__chr21_KI270872v1_alt	NM_001142854__chr21_KI270872v1_alt__1|NM_032261__chr21_KI270872v1_alt__1
SPATC1__chr8	NM_001134374__chr8__1|NM_198572__chr8__1
SPATS1__chr6	NM_145026__chr6__1
SPATS2L__chr2	NM_001282735__chr2__1|NM_001282743__chr2__1|NM_015535__chr2__1|NM_001100422__chr2__1|NM_001100424__chr2__1|NM_001100423__chr2__1|NM_001282744__chr2__1
SPATS2__chr12	NM_023071__chr12__1|NM_001293285__chr12__1|NM_001293286__chr12__1|NR_120663__chr12__1
SPC24__chr19	NM_001317031__chr19__1|NM_001317033__chr19__1|NM_182513__chr19__1|NM_001317032__chr19__1
SPC25__chr2	NM_020675__chr2__1
SPC25__chr2_GL383522v1_alt	NM_020675__chr2_GL383522v1_alt__1
SPCS1__chr3	NM_014041__chr3__1
SPCS2__chr11	NM_014752__chr11__1
SPCS3__chr4	NM_021928__chr4__1
SPDEF__chr6	NM_001252294__chr6__1|NM_012391__chr6__1
SPDL1__chr5	NM_017785__chr5__1
SPDYA__chr2	NM_001142634__chr2__1|NM_182756__chr2__1|NM_001008779__chr2__1
SPDYC__chr11	NM_001008778__chr11__1
SPDYE1__chr7	NM_175064__chr7__1
SPDYE2B__chr7	NM_001166339__chr7__1|NM_001166339__chr7__2
SPDYE2__chr7	NM_001031618__chr7__1|NM_001031618__chr7__2
SPDYE3__chr7	NM_001004351__chr7__1
SPDYE4__chr17	NM_001128076__chr17__1
SPDYE5__chr7	NM_001306141__chr7__1
SPDYE6__chr7	NM_001146210__chr7__1
SPDYE7P__chr7	NR_003666__chr7__1
SPDYE8P__chr7	NR_003664__chr7__1|NR_003664__chr7__2|NR_003664__chr7__3|NR_003664__chr7__4|NR_003664__chr7__5
SPECC1L-ADORA2A__chr22	NR_103546__chr22__1
SPECC1L__chr22	NM_001145468__chr22__1|NM_001254732__chr22__1|NM_015330__chr22__1|NM_001254733__chr22__1
SPECC1__chr17	NM_001243439__chr17__1|NM_152904__chr17__1|NM_001033553__chr17__1|NM_001033554__chr17__1|NM_001243438__chr17__1|NM_001033555__chr17__1
SPEF1__chr20	NM_015417__chr20__1
SPEF2__chr5	NM_144722__chr5__1|NM_024867__chr5__1
SPEG__chr2	NM_005876__chr2__1|NM_001173476__chr2__1
SPEM1__chr17	NM_199339__chr17__1
SPEN__chr1	NM_015001__chr1__1
SPERT__chr13	NM_001286341__chr13__1|NM_152719__chr13__1|NM_001286342__chr13__1
SPESP1__chr15	NM_145658__chr15__1
SPG11__chr15	NM_001160227__chr15__1|NM_025137__chr15__1
SPG20-AS1__chr13	NR_045180__chr13__1|NR_045181__chr13__1
SPG20__chr13	NM_001142296__chr13__1|NM_015087__chr13__1|NM_001142295__chr13__1|NM_001142294__chr13__1
SPG21__chr15	NM_001127889__chr15__1|NM_001127890__chr15__1|NM_016630__chr15__1
SPG7__chr16	NM_199367__chr16__1|NM_003119__chr16__1
SPHAR__chr1	NM_006542__chr1__1
SPHK1__chr17	NM_001142601__chr17__1|NM_021972__chr17__1|NM_182965__chr17__1|NM_001142602__chr17__1
SPHK2__chr19	NM_001204158__chr19__1|NM_001243876__chr19__1|NM_020126__chr19__1|NM_001204159__chr19__1|NM_001204160__chr19__1
SPHKAP__chr2	NM_001142644__chr2__1|NM_030623__chr2__1
SPI1__chr11	NM_001080547__chr11__1|NM_003120__chr11__1
SPIB__chr19	NM_001243998__chr19__1|NM_001243999__chr19__1|NM_001244000__chr19__1|NM_003121__chr19__1
SPICE1__chr3	NM_144718__chr3__1
SPIC__chr12	NM_152323__chr12__1
SPIDR__chr8	NM_001080394__chr8__1|NM_001282916__chr8__1|NM_001282919__chr8__1|NR_104581__chr8__1
SPIN1__chr9	NM_006717__chr9__1
SPIN2A__chrX	NM_019003__chrX__1
SPIN2B__chrX	NM_001006681__chrX__1|NM_001006682__chrX__1|NM_001006683__chrX__1|NM_001282461__chrX__1|NM_001282462__chrX__1
SPIN3__chrX	NR_027139__chrX__1|NM_001010862__chrX__1
SPIN4__chrX	NM_001012968__chrX__1
SPINK13__chr5	NM_001040129__chr5__1
SPINK14__chr5	NM_001001325__chr5__1
SPINK1__chr5	NM_003122__chr5__1
SPINK2__chr4	NR_073417__chr4__1|NR_073419__chr4__1|NM_001271718__chr4__1|NM_001271719__chr4__1|NM_001271720__chr4__1|NM_001271721__chr4__1|NM_001271722__chr4__1|NM_021114__chr4__1|NR_073418__chr4__1
SPINK4__chr9	NM_014471__chr9__1
SPINK5__chr5	NM_001127699__chr5__1|NM_001127698__chr5__1|NM_006846__chr5__1
SPINK6__chr5	NM_001195290__chr5__1|NM_205841__chr5__1
SPINK7__chr5	NM_032566__chr5__1
SPINK8__chr3	NM_001080525__chr3__1
SPINK9__chr5	NM_001040433__chr5__1
SPINT1__chr15	NM_003710__chr15__1|NM_181642__chr15__1|NM_001032367__chr15__1
SPINT2__chr19	NM_001166103__chr19__1|NM_021102__chr19__1
SPINT3__chr20	NM_006652__chr20__1
SPINT4__chr20	NM_178455__chr20__1
SPIRE1__chr18	NM_001128627__chr18__1|NM_001128626__chr18__1|NM_020148__chr18__1
SPIRE2__chr16	NM_032451__chr16__1
SPNS1__chr16	NM_001142448__chr16__1|NM_001142449__chr16__1|NM_001142450__chr16__1|NM_001142451__chr16__1|NM_032038__chr16__1
SPNS2__chr17	NM_001124758__chr17__1
SPNS3__chr17	NM_001320449__chr17__1|NM_182538__chr17__1
SPN__chr16	NM_001030288__chr16__1|NM_003123__chr16__1
SPO11__chr20	NM_012444__chr20__1|NM_198265__chr20__1
SPOCD1__chr1	NM_001281987__chr1__1|NM_001281988__chr1__1|NM_144569__chr1__1
SPOCK1__chr5	NM_004598__chr5__1
SPOCK2__chr10	NM_001244950__chr10__1|NM_014767__chr10__1|NM_001134434__chr10__1
SPOCK3__chr4	NM_001204353__chr4__1|NM_001040159__chr4__1|NM_001204352__chr4__1|NM_001204354__chr4__1|NM_001204355__chr4__1|NM_001204356__chr4__1|NM_001251967__chr4__1|NM_016950__chr4__1|NM_001204358__chr4__1
SPON1__chr11	NM_006108__chr11__1
SPON2__chr4	NM_001199021__chr4__1|NM_012445__chr4__1|NM_001128325__chr4__1
SPOPL__chr2	NM_001001664__chr2__1
SPOP__chr17	NM_001007226__chr17__1|NM_001007227__chr17__1|NM_001007228__chr17__1|NM_001007229__chr17__1|NM_001007230__chr17__1|NM_003563__chr17__1
SPP1__chr4	NM_000582__chr4__1|NM_001040058__chr4__1|NM_001040060__chr4__1|NM_001251829__chr4__1|NM_001251830__chr4__1
SPP2__chr2	NM_006944__chr2__1
SPPL2A__chr15	NM_032802__chr15__1
SPPL2B__chr19	NM_001077238__chr19__1|NM_152988__chr19__1
SPPL2C__chr17	NM_175882__chr17__1
SPPL2C__chr17_GL000258v2_alt	NM_175882__chr17_GL000258v2_alt__1
SPPL2C__chr17_KI270908v1_alt	NM_175882__chr17_KI270908v1_alt__1
SPPL3__chr12	NM_139015__chr12__1
SPRED1__chr15	NM_152594__chr15__1
SPRED2__chr2	NM_181784__chr2__1|NM_001128210__chr2__1
SPRED3__chr19	NM_001042522__chr19__1|NR_073032__chr19__1
SPRNP1__chr10	NR_033789__chr10__1
SPRN__chr10	NM_001012508__chr10__1
SPRR1A__chr1	NM_001199828__chr1__1|NM_005987__chr1__1
SPRR1B__chr1	NM_003125__chr1__1
SPRR2A__chr1	NM_005988__chr1__1
SPRR2B__chr1	NM_001017418__chr1__1
